Log recorg
Processing Record 1 | ushuaia
Processing Record 2 | codrington
Processing Record 3 | tuktoyaktuk
Processing Record 4 | bluff
Processing Record 5 | yulara
Processing Record 6 | chokurdakh
Processing Record 8 | aksu
Processing Record 9 | dikson
Processing Record 10 | thompson
Processing Record 11 | barabinsk
Processing Record 12 | aleppo
Processing Record 13 | lebu
Processing Record 14 | albany
Processing Record 15 | severo-kurilsk
Processing Record 16 | saldanha
Processing Record 17 | hithadhoo
Processing Record 19 | maceio
Processing Record 20 | chifeng
Processing Record 21 | mataura
Processing Record 22 | castro
Processing Record 24 | benguela
Processing Record 25 | punta arenas
Processing Record 26 | atuona
Processing Record 27 | hilo
Processing Record 28 | sitka
Processing Record 30 | georgetown
Processing Record 31 | busselton
Processing Record 32 | jamestown
Processing Record 33 | necochea
Processing Record 34 | pandan
Processing Record 35 | rabat
Processing Record 36 | port alfred
Processing Record 37 | saskylakh
Processing Record 38 | sibolga
Processing Record 39 | filadelfia
Processing Record 40 | hobart
Processing Record 41 | cape town
Processing Record 42 | beringovskiy
Processing Record 45 | sao gabriel da cachoeira
Processing Record 46 | mazyr
Processing Record 47 | east london
Processing Record 48 | ilulissat
Processing Record 49 | parksville
Processing Record 50 | kahului
Processing Record 51 | neath
Processing Record 52 | kudahuvadhoo
Processing Record 53 | isangel
Processing Record 54 | rikitea
Processing Record 55 | iranshahr
Processing Record 56 | poso
Processing Record 57 | guerrero negro
Processing Record 58 | barrow
Processing Record 59 | tuatapere
Processing Record 60 | cidreira
Processing Record 62 | kapaa
Processing Record 63 | carnarvon
Processing Record 64 | yellowknife
Processing Record 65 | wanaka
Processing Record 66 | nizhnyaya poyma
Processing Record 67 | sobolevo
Processing Record 68 | provideniya
Processing Record 69 | khatanga
Processing Record 71 | puerto ayora
Processing Record 72 | cayenne
Processing Record 73 | svetlogorsk
Processing Record 74 | port elizabeth
Processing Record 76 | wilson
Processing Record 77 | strezhevoy
Processing Record 78 | longyearbyen
Processing Record 79 | vaini
Processing Record 81 | pabrade
Processing Record 82 | vardo
Processing Record 83 | saint-francois
Processing Record 84 | ribeira grande
Processing Record 88 | bredasdorp
Processing Record 89 | nouadhibou
Processing Record 90 | torbay
Processing Record 91 | victoria
Processing Record 92 | rio grande
Processing Record 93 | mar del plata
Processing Record 94 | bambous virieux
Processing Record 95 | san carlos de bariloche
Processing Record 96 | cherskiy
Processing Record 97 | merritt island
Processing Record 98 | kodiak
Processing Record 99 | goito
Processing Record 100 | touros
