City,Country,Date,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed
Coahuayana,MX,1562173173,18.62,-100.35,100,64,86.3,1.41
Esna,RO,1562173173,45.2,27.57,90,64,71.6,16.11
Cape Town,ZA,1562172986,-33.93,18.42,75,77,60.8,5.82
Dikson,RU,1562173173,73.51,80.55,100,86,37.16,10.38
Bilma,NE,1562173173,18.69,12.92,45,21,97.82,5.32
Guerrero Negro,MX,1562172969,27.97,-114.04,0,84,67.22,13.09
Ngorongoro,TZ,1562173174,-3.24,35.49,7,60,67.22,9.75
Kaitangata,NZ,1562173174,-46.28,169.85,46,75,46.99,3
Penzance,GB,1562173174,50.12,-5.53,20,68,69.01,13.87
East London,ZA,1562173174,-33.02,27.91,0,77,60.8,6.93
Palmer,AU,1562173175,-34.85,139.16,42,75,51.01,4.7
Ughelli,NG,1562173175,5.49,6,100,94,75.68,4.99
Busselton,AU,1562172899,-33.64,115.35,92,45,61,26.62
Chuy,UY,1562172751,-33.69,-53.46,69,64,49.04,18.16
West Lafayette,US,1562172965,40.43,-86.91,1,78,87.01,2.75
Brae,GB,1562173175,60.4,-1.35,75,81,53.6,20.8
Listvyanskiy,RU,1562173175,54.44,83.49,95,89,62.54,6.13
Hilo,US,1562172935,19.71,-155.08,90,78,71.6,5.82
Sao Filipe,CV,1562172928,14.9,-24.5,61,86,73.7,13.89
Puerto Ayora,EC,1562172895,-0.74,-90.35,75,69,73.4,16.11
Micoud,LC,1562173176,13.82,-60.9,20,66,86,18.34
Hobart,AU,1562172915,-42.88,147.33,0,86,42.01,9.17
Kharan,PK,1562173176,28.58,65.42,0,12,93.86,6.93
Muros,ES,1562173065,42.77,-9.06,20,65,82.99,11.41
Egvekinot,RU,1562172934,66.32,-179.17,30,66,56.42,7.02
North Bend,US,1562172983,43.41,-124.22,75,77,63,3.36
Hobyo,SO,1562173177,5.35,48.53,30,68,78.02,27.56
Maroantsetra,MG,1562173177,-15.43,49.74,41,98,62.18,1.7
Atuona,PF,1562172901,-9.8,-139.03,20,66,80.36,9.86
Sola,TZ,1562173054,-3.17,33.8,27,42,74.42,9.04
Cairns,AU,1562173178,-16.92,145.77,0,77,62.6,5.82
Boa Vista,BR,1562172912,2.82,-60.67,99,86,75.86,7.56
Faya,SA,1562173178,18.39,42.45,40,53,78.8,10.29
Rikitea,PF,1562173117,-23.12,-134.97,100,81,63.98,18.72
Thinadhoo,MV,1562173179,0.53,72.93,65,80,83.6,12.66
Woodbury,US,1562173179,41.36,-74.11,75,69,87.01,4.83
Jamestown,AU,1562172889,-33.21,138.6,3,90,44.72,7.58
New Norfolk,AU,1562172893,-42.78,147.06,0,86,42.01,9.17
Pevek,RU,1562172833,69.7,170.27,100,99,33.02,6.82
Albany,US,1562172870,42.65,-73.75,1,48,87.01,3.36
Port Alfred,ZA,1562172913,-33.59,26.89,0,87,60.01,3
Kapaa,US,1562172908,22.08,-159.32,75,88,75.2,5.82
Dingle,PH,1562173180,11,122.67,100,86,75.68,3.22
Hasaki,JP,1562172976,35.73,140.83,90,94,73.4,5.82
Mataura,NZ,1562172896,-46.19,168.86,60,84,48,7
Amurrio,ES,1562173180,43.05,-3,20,83,77,10.29
Riyadh,SA,1562173028,24.63,46.72,0,7,104,18.34
Lebu,ET,1562172930,8.96,38.73,57,85,58.58,2.04
Punta Arenas,CL,1562173181,-53.16,-70.91,75,86,33.8,8.05
Tocopilla,CL,1562173181,-22.09,-70.2,89,84,57.86,12.01
Cabo San Lucas,MX,1562172994,22.89,-109.91,5,69,88,6.93
Sweetwater,US,1562173181,32.47,-100.41,1,58,89.01,10.07
Vao,EE,1562172915,59.1,26.19,100,68,56.06,9.42
Gouyave,GD,1562173182,12.16,-61.73,20,58,87.8,13.87
Ibirama,BR,1562173182,-27.05,-49.52,50,1,68,5.95
Inhambane,MZ,1562173182,-23.87,35.38,0,72,68,4.09
Leningradskiy,RU,1562172962,69.38,178.42,100,96,36.44,6.67
Alice Springs,AU,1562172994,-23.7,133.88,0,44,39.2,4.7
Hithadhoo,MV,1562172899,-0.6,73.08,48,78,83.78,14.14
Victoria,BN,1562172918,5.28,115.24,75,83,82.4,4.94
Belyy Yar,RU,1562173183,53.6,91.39,0,93,57.2,4.47
Srednekolymsk,RU,1562173042,67.46,153.71,100,58,53.36,7.43
Ancud,CL,1562173014,-41.87,-73.83,40,93,46.4,6.93
Sao Joao da Barra,BR,1562172962,-21.64,-41.05,0,40,87.8,6.93
Ust-Tsilma,RU,1562173183,65.44,52.15,99,93,62.36,6.4
Torbay,CA,1562172729,47.66,-52.73,90,82,62.01,13.87
Coldingham,GB,1562173184,55.89,-2.16,0,60,69.01,14.99
Bathsheba,BB,1562173184,13.22,-59.52,0,79,81.44,18.1
Bethel,US,1562173015,60.79,-161.76,90,100,53.6,18.34
Vaini,IN,1562172924,15.34,74.49,92,86,78.38,6.49
Batangafo,CF,1562173184,7.3,18.29,51,77,76.58,3.33
Singaraja,ID,1562172987,-8.11,115.08,65,80,80,8.32
Avarua,CK,1562172913,-21.21,-159.78,0,49,71.6,9.17
Puri,ID,1562172991,-7.54,112.45,39,92,72.08,3.78
Sept-Iles,CA,1562172919,50.2,-66.38,40,63,66.2,8.05
Beloha,MG,1562172981,-25.17,45.06,0,78,62.72,5.17
Pangnirtung,CA,1562173185,66.15,-65.72,75,76,50,14.99
San Patricio,PY,1562172972,-26.98,-56.83,0,53,59.84,8.63
Khatanga,RU,1562172918,71.98,102.47,100,91,50.84,9.44
Caravelas,BR,1562172819,-17.73,-39.27,0,63,82.7,6.69
Kristinehamn,SE,1562173186,59.31,14.11,92,50,63,3.36
Kloulklubed,PW,1562173186,7.04,134.26,90,88,78.8,8.05
Naze,NG,1562172995,5.43,7.07,100,93,75.14,6.13
Morro Bay,US,1562173187,35.37,-120.85,40,82,60.8,5.82
Tiksi,RU,1562172983,71.64,128.87,100,88,39.14,2.89
Aksu,KZ,1562173187,52.04,76.93,75,60,71.6,11.18
Ushuaia,AR,1562172889,-54.81,-68.31,0,86,30.2,8.05
Carnarvon,ZA,1562172988,-30.97,22.13,0,34,49.58,6.31
Lagoa,PT,1562173052,37.14,-8.45,0,68,77,8.05
Slave Lake,CA,1562173188,55.28,-114.77,40,71,57.2,13.87
Banyo,CM,1562173188,6.75,11.81,88,95,67.4,1.99
